Field_name,Field_locator_name,Field_locator_value
welcome_login,xpath,//android.widget.TextView[@text='Log In']
welcome_signup,xpath,//android.widget.TextView[@text='Sign Up']
landing_title,xpath,//android.widget.TextView[@index=1]
login_page_title,xpath,//android.view.View[2]
welcome_page_title,xpath,//android.view.ViewGroup/android.widget.ImageView
signup_page_back,xpath,"//android.widget.Button[@content-desc=""Go Back, back""]"
signup_first_name,xpath,//android.view.ViewGroup/android.widget.EditText[1]
signup_last_name,xpath,//android.view.ViewGroup/android.widget.EditText[2]
signup_email_id,xpath,//android.view.ViewGroup/android.widget.EditText[3]
signup_phone_number,xpath,//android.view.ViewGroup/android.widget.EditText[4]
signup_password,xpath,//android.view.ViewGroup/android.widget.EditText[5]
signup_confirm_password,xpath,//android.view.ViewGroup/android.widget.EditText[6]
signup_terms_and_conditions,xpath,//android.view.ViewGroup[6]
signup_firstname_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[4]
signup_emailid_blank_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[6]
signup_lastname_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[5]
signup_exist_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[7]
signup_emailid_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[6]
signup,xpath,//android.view.ViewGroup[7]/android.widget.TextView
signup_phonenumber_valid_msg,xpath,//android.widget.TextView[7]
login_link,xpath,//android.widget.TextView[@text='Log In']
signup_link,xpath,//android.view.View[@resource-id='signup']
confirm_password,xpath,//android.view.ViewGroup/android.widget.EditText[6]
signup_show_password,xpath,//android.view.ViewGroup[2]
signup,xpath,//android.view.ViewGroup[7]
otp_1,xpath,//android.widget.EditText[@index='3']
otp_2,xpath,//android.widget.EditText[@index='4']
otp_3,xpath,//android.widget.EditText[@index='5']
otp_4,xpath,//android.widget.EditText[@index='6']
otp_verify,xpath,//android.widget.TextView[@text='Verify']
otp_page_title,xpath,//android.widget.TextView[@text='Enter code']
plus_one,xpath,//android.view.View[16]/android.widget.TextView
signup_now,xpath,//android.widget.TextView[2][@text='Sign Up Now.']
login,xpath,//android.view.View[30]
login_invalid_msg,xpath,//android.view.View[9]/android.widget.TextView
login_validate_msg,xpath,//div[@class='content']/div[6]/div[2]/input
login_negative_validate_msg,xpath,//div[@class='content']/div[2]/div[2]
services_title,xpath,//android.widget.TextView[@index='0']
second_opinions,xpath,//android.widget.TextView[@text='Second Opinions']
second_opinions_title,xpath,//android.widget.TextView[@text='Your alerts']
conditions,xpath,//android.widget.TextView[@text='Conditions']
conditions_title,xpath,//android.widget.TextView[@text='Showing 227 conditions']
medications,xpath,//android.widget.TextView[@text='Medications']
medications_title,xpath,//android.widget.TextView[@text='Showing 0 medications']
bills,xpath,//android.widget.TextView[@text='Bills']
bills_title,xpath,//android.widget.TextView[@text='Total bills due']
claims,xpath,//android.widget.TextView[@text='Claims']
claims_title,xpath,//android.widget.TextView[@text='Select claim type']
forgot_password_link,xpath,//android.view.View[@resource-id='forgot-password']
forgot_phone_number,xpath,//android.view.ViewGroup/android.widget.EditText
send_resend_link,xpath,//android.widget.TextView[@text='Send Reset Link']
forgot_signup_link,xpath,//android.widget.TextView[@text='Sign up']
forgot_phonno_requ_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[4]
forgot_phoneno_less_valid_msg,xpath,//android.view.ViewGroup/android.widget.TextView[4]
forgot_nonreg_no_msg,xpath,//android.view.ViewGroup/android.widget.TextView[4]
forgot_page_title,xpath,//android.view.ViewGroup/android.widget.TextView[2]
login_phone_number,xpath,//android.widget.EditText[@resource-id='inputUsername']
login_password,xpath,//android.widget.EditText[@resource-id='inputPassword']
hamburger,xpath,//android.view.ViewGroup/android.view.ViewGroup[1]/android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.TextView
header_contact,xpath,//android.view.ViewGroup[8]
header_contact_title,xpath,//android.view.View[@text='Contact Us']
header_profile,xpath,//android.view.ViewGroup[2]
profile_first_name,xpath,//android.widget.TextView[@text='First name:']
header_rating,xpath,//android.view.ViewGroup[3]
header_rating_explore,xpath,//android.widget.TextView[@text='Explore Services']
header_alerts,xpath,//android.view.ViewGroup[4]
header_alerts_title,xpath,//android.view.View[@text='Your alerts']
header_feedback,xpath,//android.view.ViewGroup[5]
header_feedback_portal,xpath,//android.view.View[@text='Mpowered Health Feedback Portal']
header_faq,xpath,//android.view.ViewGroup[7]
header_faq_title,xpath,//android.widget.TextView[@text='Frequently asked questions']
header_privacy,xpath,//android.view.ViewGroup[9]
header_privacy_ok,xpath,//android.widget.TextView[@text='OK']
header_terms,xpath,//android.view.ViewGroup[10]
header_terms_ok,xpath,//android.widget.TextView[@text='OK']
logout,xpath,//android.view.ViewGroup[11]
utilities,xpath,//android.widget.TextView[@text='Utilities']
utilities_wallet,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.ImageView
utilities_award_points,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup/android.widget.ImageView
utilities_add_payment_method,xpath,//android.view.ViewGroup[1]/android.widget.TextView
utilities_add_debit_credit_card,xpath,//android.widget.TextView[2]
utilities_add_bank_account,xpath,//android.widget.TextView[4]
utilities_save_btn,xpath,//android.view.ViewGroup/android.view.ViewGroup[3]
